	"blouse"	"jacket"	"top"	"shirt"	"t-shirt"	"tunic"	"A-skirt"	"jeans"	"leggings"	"shorts"	"Tube skirt"	"Tu-tu skirt"	"ballerinas"	"boots"	"sandals"	"heels"	"sport-shoes"	"wedges"	"hat"	"shoulder bag"	"clutch"	"gloves"	"hair-band"	"necklace"
"blouse"	10	6	0	0	0	0	4	10	3	6	4	3	8	10	4	4	3	6	3	10	4	3	4	4
"jacket"	6	10	10	6	10	4	8	10	4	8	10	10	6	10	6	6	4	8	4	8	6	6	10	10
"top"	0	10	10	0	0	0	4	10	2	6	10	8	6	8	10	8	4	10	6	4	8	8	10	10
"shirt"	0	6	0	10	4	0	6	10	2	4	6	4	6	10	6	10	3	8	3	8	6	3	4	4
"t-shirt"	0	10	0	4	10	0	8	10	1	8	8	10	8	10	4	1	10	4	6	10	3	10	3	6
"tunic"	0	4	0	0	0	10	0	10	10	3	3	1	4	4	8	6	3	10	6	4	10	6	10	8
"A-skirt"	4	8	4	6	8	0	10	0	3	0	0	0	10	8	4	6	3	10	4	3	8	4	10	10
"jeans"	10	10	10	10	10	10	0	10	0	0	0	3	6	10	6	6	6	10	10	10	4	8	4	10
"leggings"	3	4	2	2	1	10	3	0	10	0	4	6	10	4	6	3	4	10	10	10	6	10	4	10
"shorts"	6	8	6	4	8	3	0	0	0	10	0	0	10	3	4	1	10	6	4	8	1	4	2	3
"Tube skirt"	4	10	10	6	8	3	0	0	4	0	10	0	6	8	4	10	3	8	6	6	8	6	10	10
"Tu-tu skirt"	3	10	8	4	10	1	0	3	6	0	0	10	10	3	6	4	10	4	10	4	6	10	8	6
"ballerinas"	8	6	6	6	8	4	10	6	10	10	6	10	10	0	0	0	0	0	4	4	4	4	6	6
"boots"	10	10	8	10	10	4	8	10	4	3	8	3	0	10	0	0	0	0	4	10	3	4	3	6
"sandals"	4	6	10	6	4	8	4	6	6	4	4	6	0	0	10	0	0	0	4	6	8	4	10	10
"heels"	4	6	8	10	1	6	6	6	3	1	10	4	0	0	0	10	0	0	6	4	10	8	10	6
"sport-shoes"	3	4	4	3	10	3	3	6	4	10	3	10	0	0	0	0	10	0	4	4	3	10	3	6
"wedges"	6	8	10	8	4	10	10	10	10	6	8	4	0	0	0	0	0	10	3	6	8	4	4	6
"hat"	3	4	6	3	6	6	4	10	10	4	6	10	4	4	4	6	4	3	10	6	0	10	0	10
"shoulder bag"	10	8	4	8	10	4	3	10	10	8	6	4	4	10	6	4	4	6	6	10	0	4	4	10
"clutch"	4	6	8	6	3	10	8	4	6	1	8	6	4	3	8	10	3	8	0	0	10	4	10	8
"gloves"	3	6	8	3	10	6	4	8	10	4	6	10	4	4	4	8	10	4	10	4	4	10	6	10
"hair-band"	4	10	10	4	3	10	10	4	4	2	10	8	6	3	10	10	3	4	0	4	10	6	10	6
"necklace"	4	10	10	4	6	8	10	10	10	3	10	6	6	6	10	6	6	6	10	10	8	10	6	10
